time,num_idle,num_serving,num_charging,num_cruising,pass_arrivals,removed_pass
1464771600,0,0,0,0,0,0
1464771660,14,14,14,14,0,0
1464771720,27,27,27,27,0,0
1464771780,42,42,42,42,0,0
1464771840,56,56,56,56,0,0
1464771900,64,64,64,64,0,0
1464771960,77,77,77,77,0,0
1464772020,89,89,89,89,0,0
1464772080,103,103,103,103,0,0
1464772140,120,120,120,120,0,0
1464772200,136,136,136,136,0,0
1464772260,152,152,152,152,0,0
1464772320,167,167,167,167,0,0
1464772380,180,180,180,180,0,0
1464772440,195,195,195,195,0,0
1464772500,208,208,208,208,0,0
1464772560,229,229,229,229,0,0
1464772620,241,241,241,241,0,0
1464772680,254,254,254,254,0,0
1464772740,266,266,266,266,0,0
1464772800,283,283,283,283,0,0
1464772860,297,297,297,297,0,0
1464772920,305,305,305,305,0,0
1464772980,319,319,319,319,0,0
1464773040,328,328,328,328,0,0
1464773100,338,338,338,338,0,0
1464773160,349,349,349,349,0,0
1464773220,359,359,359,359,0,0
1464773280,376,376,376,376,0,0
1464773340,391,391,391,391,0,0
1464773400,403,403,403,403,0,0
1464773460,420,420,420,420,0,0
1464773520,429,429,429,429,0,0
1464773580,440,440,440,440,0,0
1464773640,449,449,449,449,0,0
1464773700,458,458,458,458,0,0
1464773760,467,467,467,467,0,0
1464773820,483,483,483,483,0,0
1464773880,492,492,492,492,0,0
1464773940,503,503,503,503,0,0
1464774000,511,511,511,511,0,0
1464774060,522,522,522,522,0,0
1464774120,528,528,528,528,0,0
1464774180,543,543,543,543,0,0
1464774240,555,555,555,555,0,0
1464774300,567,567,567,567,0,0
1464774360,574,574,574,574,0,0
1464774420,586,586,586,586,0,0
1464774480,601,601,601,601,0,0
1464774540,613,613,613,613,0,0
1464774600,618,618,618,618,0,0
1464774660,632,632,632,632,0,0
1464774720,642,642,642,642,0,0
1464774780,651,651,651,651,0,0
1464774840,668,668,668,668,0,0
1464774900,679,679,679,679,0,0
1464774960,691,691,691,691,0,0
1464775020,705,705,705,705,0,0
1464775080,720,720,720,720,0,0
1464775140,734,734,734,734,0,0
1464775200,743,743,743,743,0,0
1464775260,750,750,750,750,0,0
1464775320,760,760,760,760,0,0
1464775380,769,769,769,769,0,0
1464775440,778,778,778,778,0,0
1464775500,796,796,796,796,0,0
1464775560,807,807,807,807,0,0
1464775620,814,814,814,814,0,0
1464775680,828,828,828,828,0,0
1464775740,842,842,842,842,0,0
1464775800,856,856,856,856,0,0
1464775860,866,866,866,866,0,0
1464775920,880,880,880,880,0,0
1464775980,891,891,891,891,0,0
1464776040,900,900,900,900,0,0
1464776100,908,908,908,908,0,0
1464776160,916,916,916,916,0,0
1464776220,930,930,930,930,0,0
1464776280,945,945,945,945,0,0
1464776340,954,954,954,954,0,0
1464776400,970,970,970,970,0,0
1464776460,980,980,980,980,0,0
1464776520,990,990,990,990,0,0
1464776580,1000,1000,1000,1000,0,0
1464776640,1012,1012,1012,1012,0,0
1464776700,1021,1021,1021,1021,0,0
1464776760,1034,1034,1034,1034,0,0
1464776820,1047,1047,1047,1047,0,0
1464776880,1061,1061,1061,1061,0,0
1464776940,1075,1075,1075,1075,0,0
1464777000,1084,1084,1084,1084,0,0
1464777060,1088,1088,1088,1088,0,0
1464777120,1101,1101,1101,1101,0,0
1464777180,1112,1112,1112,1112,0,0
1464777240,1124,1124,1124,1124,0,0
1464777300,1132,1132,1132,1132,0,0
1464777360,1148,1148,1148,1148,0,0
1464777420,1156,1156,1156,1156,0,0
1464777480,1169,1169,1169,1169,0,0
1464777540,1186,1186,1186,1186,0,0
1464777600,1194,1194,1194,1194,0,0
1464777660,1208,1208,1208,1208,0,0
1464777720,1226,1226,1226,1226,0,0
1464777780,1235,1235,1235,1235,0,0
1464777840,1253,1253,1253,1253,0,0
1464777900,1265,1265,1265,1265,0,0
1464777960,1275,1275,1275,1275,0,0
1464778020,1294,1294,1294,1294,0,0
1464778080,1308,1308,1308,1308,0,0
1464778140,1325,1325,1325,1325,0,0
1464778200,1335,1335,1335,1335,0,0
1464778260,1348,1348,1348,1348,0,0
1464778320,1359,1359,1359,1359,0,0
1464778380,1366,1366,1366,1366,0,0
1464778440,1376,1376,1376,1376,0,0
1464778500,1384,1384,1384,1384,0,0
1464778560,1399,1399,1399,1399,0,0
1464778620,1409,1409,1409,1409,0,0
1464778680,1428,1428,1428,1428,0,0
1464778740,1438,1438,1438,1438,0,0
1464778800,1445,1445,1445,1445,0,0
1464778860,1459,1459,1459,1459,0,0
1464778920,1474,1474,1474,1474,0,0
1464778980,1486,1486,1486,1486,0,0
1464779040,1494,1494,1494,1494,0,0
