Train step=100, hour=0, Loss = 1.31632759803324e-05
Train step=200, hour=0, Loss = 9.603356375009753e-06
Train step=300, hour=0, Loss = 9.822286301641725e-06
Train step=400, hour=0, Loss = 9.036739356815815e-06
Train step=500, hour=0, Loss = 8.067087037488818e-06
Train step=600, hour=0, Loss = 1.3892961760575417e-05
Train step=700, hour=0, Loss = 8.069747309491504e-06
Train step=800, hour=0, Loss = 8.197584975278005e-06
Train step=900, hour=0, Loss = 1.7880562154459767e-05
Train step=1000, hour=0, Loss = 7.72785278968513e-06
Train step=1100, hour=0, Loss = 1.827593587222509e-05
Train step=1200, hour=0, Loss = 7.67142864788184e-06
Train step=1300, hour=0, Loss = 9.27356359170517e-06
Train step=1400, hour=0, Loss = 9.012714144773781e-06
Train step=1500, hour=0, Loss = 1.153185439761728e-05
Train step=1600, hour=0, Loss = 8.077482561930083e-06
Train step=1700, hour=0, Loss = 9.897832569549792e-06
Train step=1800, hour=0, Loss = 2.0019582734676078e-05
Train step=1900, hour=0, Loss = 2.8981350624235347e-05
Train step=2000, hour=0, Loss = 6.899449545016978e-06
Train step=2100, hour=0, Loss = 7.277384156623157e-06
Train step=2200, hour=0, Loss = 7.791738426021766e-06
Train step=2300, hour=0, Loss = 7.505625944759231e-06
Train step=2400, hour=0, Loss = 8.629780495539308e-06
Train step=2500, hour=1, Loss = 0.0003203373053111136
Train step=2600, hour=1, Loss = 8.216903370339423e-05
Train step=2700, hour=1, Loss = 3.119222310488112e-05
Train step=2800, hour=1, Loss = 1.9541992514859885e-05
Train step=2900, hour=1, Loss = 1.5168139725574292e-05
Train step=3000, hour=1, Loss = 1.378216256853193e-05
Train step=3100, hour=1, Loss = 1.059624719346175e-05
Train step=3200, hour=1, Loss = 9.810948540689424e-06
Train step=3300, hour=1, Loss = 1.1104797522420995e-05
Train step=3400, hour=1, Loss = 9.382792995893396e-06
Train step=3500, hour=1, Loss = 1.0353287507314235e-05
Train step=3600, hour=1, Loss = 1.4596473192796111e-05
Train step=3700, hour=1, Loss = 9.09774644242134e-06
Train step=3800, hour=1, Loss = 1.043979045789456e-05
Train step=3900, hour=1, Loss = 8.687258741701953e-06
Train step=4000, hour=1, Loss = 9.919237527356017e-06
Train step=4100, hour=1, Loss = 9.690545994089916e-06
Train step=4200, hour=1, Loss = 1.7398186173522845e-05
Train step=4300, hour=1, Loss = 1.1156106666021515e-05
Train step=4400, hour=1, Loss = 9.520206731394865e-06
Train step=4500, hour=1, Loss = 1.6790174413472414e-05
Train step=4600, hour=1, Loss = 1.1496187653392553e-05
Train step=4700, hour=1, Loss = 9.077869435714092e-06
Train step=4800, hour=1, Loss = 1.405702278134413e-05
Train step=4900, hour=1, Loss = 9.872192094917409e-06
Train step=5000, hour=2, Loss = 1.4603929230361246e-05
Train step=5100, hour=2, Loss = 8.31868874229258e-06
Train step=5200, hour=2, Loss = 8.29610689834226e-06
Train step=5300, hour=2, Loss = 8.191109373001382e-06
Train step=5400, hour=2, Loss = 7.388551239273511e-06
Train step=5500, hour=2, Loss = 7.458951131411595e-06
Train step=5600, hour=2, Loss = 7.773516699671745e-06
Train step=5700, hour=2, Loss = 7.228386493807193e-06
Train step=5800, hour=2, Loss = 6.76840727464878e-06
Train step=5900, hour=2, Loss = 6.893618774483912e-06
Train step=6000, hour=2, Loss = 6.688818757538684e-06
Train step=6100, hour=2, Loss = 7.0958803917164914e-06
Train step=6200, hour=2, Loss = 6.949984708626289e-06
Train step=6300, hour=2, Loss = 6.901889264554484e-06
Train step=6400, hour=2, Loss = 6.959955044294475e-06
Train step=6500, hour=2, Loss = 6.659950486209709e-06
Train step=6600, hour=2, Loss = 6.842342372692656e-06
Train step=6700, hour=2, Loss = 7.183567959145876e-06
Train step=6800, hour=2, Loss = 6.641575964749791e-06
Train step=6900, hour=2, Loss = 6.579476121260086e-06
Train step=7000, hour=2, Loss = 6.760355972801335e-06
Train step=7100, hour=2, Loss = 6.663503427262185e-06
Train step=7200, hour=2, Loss = 6.5209324020543136e-06
Train step=7300, hour=2, Loss = 6.5154813455592375e-06
Train step=7400, hour=2, Loss = 7.444729817507323e-06
Train step=7500, hour=2, Loss = 6.708286946377484e-06
Train step=7600, hour=2, Loss = 1.491395232733339e-05
Train step=7700, hour=2, Loss = 7.765058398945257e-06
Train step=7800, hour=2, Loss = 1.0630657925503328e-05
Train step=7900, hour=3, Loss = 6.11993164056912e-05
Train step=8000, hour=3, Loss = 4.17807386838831e-05
Train step=8100, hour=3, Loss = 2.3960026737768203e-05
Train step=8200, hour=3, Loss = 1.8409842596156523e-05
Train step=8300, hour=3, Loss = 1.3726177712669596e-05
Train step=8400, hour=3, Loss = 1.367388540529646e-05
Train step=8500, hour=3, Loss = 1.4408809875021689e-05
Train step=8600, hour=3, Loss = 9.508919902145863e-06
Train step=8700, hour=3, Loss = 1.0389181625214405e-05
Train step=8800, hour=3, Loss = 8.580840585636906e-06
Train step=8900, hour=3, Loss = 1.069806603481993e-05
Train step=9000, hour=3, Loss = 1.0152461982215755e-05
Train step=9100, hour=3, Loss = 8.508614882885013e-06
Train step=9200, hour=3, Loss = 8.08065669843927e-06
Train step=9300, hour=3, Loss = 8.357901606359519e-06
Train step=9400, hour=3, Loss = 9.821767889661714e-06
Train step=9500, hour=3, Loss = 9.866444088402204e-06
Train step=9600, hour=3, Loss = 1.2639397027669474e-05
Train step=9700, hour=3, Loss = 8.350517418875825e-06
Train step=9800, hour=3, Loss = 1.4326544260256924e-05
Train step=9900, hour=3, Loss = 9.017798220156692e-06
Train step=10000, hour=3, Loss = 9.422918992640916e-06
Train step=10100, hour=3, Loss = 9.284343832405284e-06
Train step=10200, hour=3, Loss = 8.030026037886273e-06
Train step=10300, hour=3, Loss = 8.080463885562494e-06
Train step=10400, hour=3, Loss = 1.3349254004424438e-05
Train step=10500, hour=3, Loss = 9.354644134873524e-06
Train step=10600, hour=3, Loss = 7.716229447396472e-06
Train step=10700, hour=3, Loss = 9.212924851453863e-06
Train step=10800, hour=3, Loss = 9.905184924718924e-06
Train step=10900, hour=3, Loss = 3.0908428016118705e-05
Train step=11000, hour=3, Loss = 1.562339093652554e-05
Train step=11100, hour=3, Loss = 8.32804107631091e-06
Train step=11200, hour=4, Loss = 9.134535503108054e-05
Train step=11300, hour=4, Loss = 6.80377270327881e-05
Train step=11400, hour=4, Loss = 2.3495411369367503e-05
Train step=11500, hour=4, Loss = 1.4905729585734662e-05
Train step=11600, hour=4, Loss = 1.5194819752650801e-05
Train step=11700, hour=4, Loss = 1.4939620086806826e-05
Train step=11800, hour=4, Loss = 1.0172823749599047e-05
Train step=11900, hour=4, Loss = 1.000032170850318e-05
Train step=12000, hour=4, Loss = 1.0121058949152939e-05
Train step=12100, hour=4, Loss = 9.057432180270553e-06
Train step=12200, hour=4, Loss = 8.410526788793504e-06
Train step=12300, hour=4, Loss = 9.50078811001731e-06
Train step=12400, hour=4, Loss = 8.527698810212314e-06
Train step=12500, hour=4, Loss = 8.34376896818867e-06
Train step=12600, hour=4, Loss = 1.2360833352431655e-05
Train step=12700, hour=4, Loss = 8.94070490176091e-06
Train step=12800, hour=4, Loss = 1.638021603866946e-05
Train step=12900, hour=4, Loss = 1.6528581909369677e-05
Train step=13000, hour=4, Loss = 1.0882034985115752e-05
Train step=13100, hour=4, Loss = 2.2352285668603145e-05
Train step=13200, hour=4, Loss = 8.501240699843038e-06
Train step=13300, hour=4, Loss = 7.444807124556974e-06
Train step=13400, hour=4, Loss = 1.4334909792523831e-05
Train step=13500, hour=4, Loss = 7.384512173302937e-06
Train step=13600, hour=4, Loss = 7.29736166249495e-06
Train step=13700, hour=4, Loss = 1.3031140952080023e-05
Train step=13800, hour=4, Loss = 7.603687663504388e-06
Train step=13900, hour=4, Loss = 7.475301572412718e-06
Train step=14000, hour=4, Loss = 1.8892438674811274e-05
Train step=14100, hour=4, Loss = 9.47660555539187e-06
Train step=14200, hour=4, Loss = 1.6729949493310414e-05
Train step=14300, hour=4, Loss = 8.566474207327701e-06
Train step=14400, hour=4, Loss = 1.1168291166541167e-05
Train step=14500, hour=4, Loss = 9.996871085604653e-06
Train step=14600, hour=5, Loss = 1.3563374523073435e-05
Train step=14700, hour=5, Loss = 9.741500434756745e-06
Train step=14800, hour=5, Loss = 8.970455382950604e-06
Train step=14900, hour=5, Loss = 8.213959517888725e-06
Train step=15000, hour=5, Loss = 7.453836587956175e-06
Train step=15100, hour=5, Loss = 6.825151103839744e-06
Train step=15200, hour=5, Loss = 6.866905550850788e-06
Train step=15300, hour=5, Loss = 7.1127224146039225e-06
Train step=15400, hour=5, Loss = 6.927700269443449e-06
Train step=15500, hour=5, Loss = 7.021507371973712e-06
Train step=15600, hour=5, Loss = 6.651363037235569e-06
Train step=15700, hour=5, Loss = 6.8189765443094075e-06
Train step=15800, hour=5, Loss = 6.6894526753458194e-06
Train step=15900, hour=5, Loss = 6.5726130742405076e-06
Train step=16000, hour=5, Loss = 6.483197466877755e-06
Train step=16100, hour=5, Loss = 6.887465133331716e-06
Train step=16200, hour=5, Loss = 7.0362448241212405e-06
Train step=16300, hour=5, Loss = 6.713625680276891e-06
Train step=16400, hour=5, Loss = 6.618004590563942e-06
Train step=16500, hour=5, Loss = 6.646092515438795e-06
Train step=16600, hour=5, Loss = 6.4802907218108885e-06
Train step=16700, hour=5, Loss = 6.767630111426115e-06
Train step=16800, hour=5, Loss = 6.993060196691658e-06
Train step=16900, hour=5, Loss = 7.37319169274997e-06
Train step=17000, hour=5, Loss = 1.8170163457398303e-05
Train step=17100, hour=5, Loss = 1.0128671419806778e-05
Train step=17200, hour=5, Loss = 8.506362974003423e-06
Train step=17300, hour=5, Loss = 6.5662611632433254e-06
Train step=17400, hour=5, Loss = 7.640520379936788e-06
Train step=17500, hour=5, Loss = 6.479234343714779e-06
Train step=17600, hour=5, Loss = 6.478946943389019e-06
Train step=17700, hour=5, Loss = 8.150815119734034e-06
Train step=17800, hour=5, Loss = 8.929067917051725e-06
Train step=17900, hour=6, Loss = 0.0009463051101192832
Train step=18000, hour=6, Loss = 1.2470110959839076e-05
Train step=18100, hour=6, Loss = 1.1604312021518126e-05
Train step=18200, hour=6, Loss = 1.1364940291969106e-05
Train step=18300, hour=6, Loss = 9.537459845887497e-06
Train step=18400, hour=6, Loss = 7.919952622614801e-06
Train step=18500, hour=6, Loss = 8.231862011598423e-06
Train step=18600, hour=6, Loss = 7.887381798354909e-06
Train step=18700, hour=6, Loss = 7.5340540206525475e-06
Train step=18800, hour=6, Loss = 7.410721082123928e-06
Train step=18900, hour=6, Loss = 7.2742050178931095e-06
Train step=19000, hour=6, Loss = 6.8282488427939825e-06
Train step=19100, hour=6, Loss = 7.031287168501876e-06
Train step=19200, hour=6, Loss = 6.865533578093164e-06
Train step=19300, hour=6, Loss = 7.102022664184915e-06
Train step=19400, hour=6, Loss = 6.793408829253167e-06
Train step=19500, hour=6, Loss = 6.8150193328619935e-06
Train step=19600, hour=6, Loss = 7.084298886184115e-06
Train step=19700, hour=6, Loss = 7.477604412997607e-06
Train step=19800, hour=6, Loss = 7.69013786339201e-06
Train step=19900, hour=6, Loss = 7.1303979893855285e-06
Train step=20000, hour=6, Loss = 1.1803424058598466e-05
Train step=20100, hour=6, Loss = 9.812531061470509e-06
Train step=20200, hour=6, Loss = 8.775606147537474e-06
Train step=20300, hour=6, Loss = 2.1240637579467148e-05
Train step=20400, hour=6, Loss = 8.104665539576672e-06
Train step=20500, hour=6, Loss = 7.299651315406663e-06
Train step=20600, hour=6, Loss = 1.3444217984215356e-05
Train step=20700, hour=6, Loss = 6.772416782041546e-06
Train step=20800, hour=6, Loss = 2.227825825684704e-05
Train step=20900, hour=6, Loss = 7.138527053029975e-06
Train step=21000, hour=7, Loss = 4.15766699006781e-05
Train step=21100, hour=7, Loss = 1.3719275557377841e-05
Train step=21200, hour=7, Loss = 1.6462267012684606e-05
Train step=21300, hour=7, Loss = 9.829092959989794e-06
Train step=21400, hour=7, Loss = 9.812707503442653e-06
Train step=21500, hour=7, Loss = 1.044563850882696e-05
Train step=21600, hour=7, Loss = 7.882907993916888e-06
Train step=21700, hour=7, Loss = 8.091894414974377e-06
Train step=21800, hour=7, Loss = 9.282312021241523e-06
Train step=21900, hour=7, Loss = 8.20916102384217e-06
Train step=22000, hour=7, Loss = 7.142824870243203e-06
Train step=22100, hour=7, Loss = 8.565599273424596e-06
Train step=22200, hour=7, Loss = 7.945537618070375e-06
Train step=22300, hour=7, Loss = 8.599125976616051e-06
Train step=22400, hour=7, Loss = 7.145877134462353e-06
Train step=22500, hour=7, Loss = 7.492521035601385e-06
Train step=22600, hour=7, Loss = 1.1676634130708408e-05
