Train step=100, hour=0, Loss = 1.2753505870932713e-05
Train step=200, hour=0, Loss = 9.612920621293597e-06
Train step=300, hour=0, Loss = 8.20156856207177e-06
Train step=400, hour=0, Loss = 7.582513262605062e-06
Train step=500, hour=0, Loss = 7.735802682873327e-06
Train step=600, hour=0, Loss = 7.334824204008328e-06
Train step=700, hour=1, Loss = 8.226009231293574e-05
Train step=800, hour=1, Loss = 2.8934789952472784e-05
Train step=900, hour=1, Loss = 1.9466853700578213e-05
Train step=1000, hour=1, Loss = 1.775683631421998e-05
Train step=1100, hour=1, Loss = 1.2364362191874534e-05
Train step=1200, hour=2, Loss = 3.360160189913586e-05
Train step=1300, hour=2, Loss = 7.84960047894856e-06
Train step=1400, hour=2, Loss = 7.0308578870026395e-06
Train step=1500, hour=2, Loss = 6.79357435728889e-06
Train step=1600, hour=2, Loss = 6.959072379686404e-06
Train step=1700, hour=2, Loss = 6.6587558649189305e-06
Train step=1800, hour=3, Loss = 2.007822331506759e-05
Train step=1900, hour=3, Loss = 1.0099710380018223e-05
Train step=2000, hour=3, Loss = 1.0900011147896294e-05
Train step=2100, hour=3, Loss = 9.593304639565758e-06
Train step=2200, hour=3, Loss = 9.674746252130717e-06
Train step=2300, hour=4, Loss = 0.0005516704404726624
Train step=2400, hour=4, Loss = 1.1757270840462297e-05
Train step=2500, hour=4, Loss = 1.061324746842729e-05
Train step=2600, hour=4, Loss = 9.663992386776954e-06
Train step=2700, hour=4, Loss = 9.092103027796838e-06
Train step=2800, hour=4, Loss = 7.285068477358436e-06
Train step=2900, hour=4, Loss = 7.717565495113377e-06
Train step=3000, hour=5, Loss = 0.0007210788899101317
Train step=3100, hour=5, Loss = 1.6707208487787284e-05
Train step=3200, hour=5, Loss = 1.0686704627005383e-05
Train step=3300, hour=5, Loss = 8.154406714311335e-06
Train step=3400, hour=5, Loss = 8.591022378823254e-06
Train step=3500, hour=5, Loss = 8.232494110416155e-06
Train step=3600, hour=5, Loss = 7.895056114648469e-06
Train step=3700, hour=5, Loss = 7.180958164099138e-06
Train step=3800, hour=5, Loss = 7.150550118240062e-06
Train step=3900, hour=6, Loss = 1.8986553186550736e-05
Train step=4000, hour=6, Loss = 7.025303602858912e-06
Train step=4100, hour=6, Loss = 7.157943855418125e-06
Train step=4200, hour=6, Loss = 6.570323421328794e-06
Train step=4300, hour=6, Loss = 7.063321390887722e-06
Train step=4400, hour=6, Loss = 6.585145456483588e-06
Train step=4500, hour=7, Loss = 0.017293693497776985
Train step=4600, hour=7, Loss = 1.1393753993615974e-05
Train step=4700, hour=7, Loss = 8.627202987554483e-06
Train step=4800, hour=7, Loss = 9.72328143689083e-06
Train step=4900, hour=7, Loss = 9.420919013791718e-06
Train step=5000, hour=7, Loss = 7.2932944021886215e-06
Train step=5100, hour=7, Loss = 7.403060862998245e-06
Train step=5200, hour=7, Loss = 7.31747604731936e-06
Train step=5300, hour=7, Loss = 7.271612957993057e-06
Train step=5400, hour=8, Loss = 7.708104021730833e-06
Train step=5500, hour=8, Loss = 7.382222975138575e-06
Train step=5600, hour=8, Loss = 6.585052688024007e-06
Train step=5700, hour=8, Loss = 6.493551154562738e-06
Train step=5800, hour=8, Loss = 6.565242074429989e-06
Train step=5900, hour=8, Loss = 7.506225301767699e-06
Train step=6000, hour=9, Loss = 7.4501303970464505e-06
Train step=6100, hour=9, Loss = 6.460814347519772e-06
Train step=6200, hour=10, Loss = 5.766387766925618e-05
Train step=6300, hour=10, Loss = 7.583135811728425e-06
Train step=6400, hour=11, Loss = 0.018298640847206116
Train step=6500, hour=11, Loss = 2.9106769943609834e-05
Train step=6600, hour=13, Loss = 5.4794392781332135e-05
Train step=6700, hour=13, Loss = 6.325767571979668e-06
Train step=6800, hour=13, Loss = 6.300895165622933e-06
Train step=6900, hour=15, Loss = 0.0009327804436907172
Train step=7000, hour=16, Loss = 3.5505789128364995e-05
Train step=7100, hour=17, Loss = 7.2863008426793385e-06
Train step=7200, hour=17, Loss = 7.190750693553127e-06
Train step=7300, hour=17, Loss = 7.072440439515049e-06
Train step=7400, hour=17, Loss = 6.748619853169657e-06
Train step=7500, hour=17, Loss = 6.673079951724503e-06
Train step=7600, hour=17, Loss = 6.555406798725016e-06
Train step=7700, hour=17, Loss = 6.55088933854131e-06
Train step=7800, hour=17, Loss = 6.486321581178345e-06
Train step=7900, hour=18, Loss = 9.862550541583914e-06
Train step=8000, hour=18, Loss = 9.488415344094392e-06
Train step=8100, hour=19, Loss = 4.878764593740925e-05
Train step=8200, hour=19, Loss = 1.1100750270998105e-05
Train step=8300, hour=20, Loss = 8.09249104349874e-06
Train step=8400, hour=21, Loss = 0.00031289405887946486
Train step=8500, hour=21, Loss = 6.701342954329448e-06
Train step=8600, hour=21, Loss = 6.517069778055884e-06
Train step=8700, hour=21, Loss = 6.525011031044414e-06
Train step=8800, hour=21, Loss = 6.50082120046136e-06
Train step=8900, hour=22, Loss = 2.839786611730233e-05
Train step=9000, hour=22, Loss = 2.315153687959537e-05
Train step=9100, hour=22, Loss = 2.2231004550121725e-05
