Train step=100, hour=0, Loss = 2.1601350454147905e-05
Train step=200, hour=0, Loss = 2.7855028747580945e-05
Train step=300, hour=0, Loss = 1.0250034392811358e-05
Train step=400, hour=0, Loss = 9.268632311432157e-06
Train step=500, hour=0, Loss = 9.731580576044507e-06
Train step=600, hour=0, Loss = 8.935598998505156e-06
Train step=700, hour=0, Loss = 8.708564564585686e-06
Train step=800, hour=0, Loss = 8.885519491741434e-06
Train step=900, hour=0, Loss = 7.791739335516468e-06
Train step=1000, hour=0, Loss = 7.608457053720485e-06
Train step=1100, hour=0, Loss = 7.6217943387746345e-06
Train step=1200, hour=0, Loss = 7.1931572165340185e-06
Train step=1300, hour=0, Loss = 7.1766835390008055e-06
Train step=1400, hour=0, Loss = 7.199843821581453e-06
Train step=1500, hour=0, Loss = 8.185328624676913e-06
Train step=1600, hour=0, Loss = 7.75638545746915e-06
Train step=1700, hour=0, Loss = 1.004073055810295e-05
Train step=1800, hour=0, Loss = 8.666205758345313e-06
Train step=1900, hour=0, Loss = 2.3565324227092788e-05
Train step=2000, hour=0, Loss = 7.067819751682691e-06
Train step=2100, hour=0, Loss = 7.286289473995566e-06
Train step=2200, hour=0, Loss = 7.358936272794381e-06
Train step=2300, hour=0, Loss = 8.31131728773471e-06
Train step=2400, hour=0, Loss = 8.286367119580973e-06
Train step=2500, hour=0, Loss = 1.1312249625916593e-05
Train step=2600, hour=0, Loss = 7.774494406476151e-06
Train step=2700, hour=0, Loss = 7.177016414061654e-06
Train step=2800, hour=0, Loss = 6.991602276684716e-06
Train step=2900, hour=0, Loss = 8.819399226922542e-06
Train step=3000, hour=0, Loss = 1.0602519978419878e-05
Train step=3100, hour=0, Loss = 9.689962098491378e-06
Train step=3200, hour=1, Loss = 9.534735727356747e-05
Train step=3300, hour=1, Loss = 1.045815588440746e-05
Train step=3400, hour=1, Loss = 8.300676199723966e-06
Train step=3500, hour=1, Loss = 8.19233446236467e-06
Train step=3600, hour=1, Loss = 8.30535645945929e-06
Train step=3700, hour=1, Loss = 7.570981324533932e-06
Train step=3800, hour=1, Loss = 7.595809620397631e-06
Train step=3900, hour=1, Loss = 7.257735887833405e-06
Train step=4000, hour=1, Loss = 7.404840289382264e-06
Train step=4100, hour=1, Loss = 7.2074963100021705e-06
Train step=4200, hour=1, Loss = 7.346806341956835e-06
Train step=4300, hour=1, Loss = 7.330426342377905e-06
Train step=4400, hour=1, Loss = 6.899236723256763e-06
Train step=4500, hour=1, Loss = 6.965121883695247e-06
Train step=4600, hour=1, Loss = 6.803612450312357e-06
Train step=4700, hour=1, Loss = 7.116622327885125e-06
Train step=4800, hour=1, Loss = 7.818389349267818e-06
Train step=4900, hour=1, Loss = 6.655138349742629e-06
Train step=5000, hour=1, Loss = 6.898514584463555e-06
Train step=5100, hour=1, Loss = 7.1941585702006705e-06
Train step=5200, hour=1, Loss = 7.0127775870787445e-06
Train step=5300, hour=1, Loss = 1.0635309990902897e-05
Train step=5400, hour=1, Loss = 7.062713848426938e-06
Train step=5500, hour=1, Loss = 6.997099717409583e-06
Train step=5600, hour=1, Loss = 8.804113349469844e-06
Train step=5700, hour=1, Loss = 1.2547845471999608e-05
Train step=5800, hour=2, Loss = 0.00013640809629578143
Train step=5900, hour=2, Loss = 5.5971329857129604e-05
Train step=6000, hour=2, Loss = 5.342564691090956e-05
Train step=6100, hour=2, Loss = 3.606364771258086e-05
Train step=6200, hour=2, Loss = 2.4531582312192768e-05
