Train step=100, hour=0, Loss = 1.143818190030288e-05
Train step=200, hour=0, Loss = 8.787676051724702e-06
Train step=300, hour=0, Loss = 8.282013368443586e-06
Train step=400, hour=0, Loss = 7.72601106291404e-06
Train step=500, hour=1, Loss = 0.00011528789036674425
Train step=600, hour=1, Loss = 2.738960574788507e-05
Train step=700, hour=1, Loss = 1.6276093447231688e-05
Train step=800, hour=1, Loss = 1.9237857486587018e-05
Train step=900, hour=1, Loss = 1.2962189430254512e-05
Train step=1000, hour=2, Loss = 0.00023766880622133613
Train step=1100, hour=2, Loss = 3.651620136224665e-05
Train step=1200, hour=2, Loss = 2.0549370674416423e-05
Train step=1300, hour=2, Loss = 2.8091260901419446e-05
Train step=1400, hour=2, Loss = 2.223359297204297e-05
Train step=1500, hour=2, Loss = 1.423798494215589e-05
Train step=1600, hour=3, Loss = 1.0767023923108354e-05
Train step=1700, hour=3, Loss = 7.694707164773718e-06
Train step=1800, hour=3, Loss = 3.126393130514771e-05
Train step=1900, hour=3, Loss = 3.295289207017049e-05
Train step=2000, hour=3, Loss = 7.477509370801272e-06
Train step=2100, hour=4, Loss = 0.00013961343211121857
Train step=2200, hour=4, Loss = 4.6199464122764766e-05
Train step=2300, hour=4, Loss = 3.054246190004051e-05
Train step=2400, hour=4, Loss = 5.686500298907049e-05
Train step=2500, hour=4, Loss = 2.2162890672916546e-05
Train step=2600, hour=4, Loss = 1.9318138583912514e-05
Train step=2700, hour=5, Loss = 2.0800429410883226e-05
Train step=2800, hour=5, Loss = 1.348453042737674e-05
Train step=2900, hour=5, Loss = 9.251591109205037e-06
Train step=3000, hour=5, Loss = 9.349189895146992e-06
Train step=3100, hour=5, Loss = 8.675990102346987e-06
Train step=3200, hour=6, Loss = 8.348633127752692e-05
Train step=3300, hour=6, Loss = 2.715432674449403e-05
Train step=3400, hour=6, Loss = 2.422250690869987e-05
Train step=3500, hour=6, Loss = 2.864070665964391e-05
Train step=3600, hour=7, Loss = 0.0002135496906703338
Train step=3700, hour=7, Loss = 7.789471965224948e-06
Train step=3800, hour=7, Loss = 7.001646281423746e-06
Train step=3900, hour=7, Loss = 6.9049747253302485e-06
Train step=4000, hour=7, Loss = 6.883473361085635e-06
Train step=4100, hour=8, Loss = 0.0008470412576571107
Train step=4200, hour=8, Loss = 8.655075362185016e-06
Train step=4300, hour=8, Loss = 7.422352609864902e-06
Train step=4400, hour=8, Loss = 7.432315214828122e-06
Train step=4500, hour=8, Loss = 7.709305464231875e-06
Train step=4600, hour=8, Loss = 7.203457244031597e-06
Train step=4700, hour=9, Loss = 0.00014557491522282362
Train step=4800, hour=9, Loss = 2.9689254006370902e-05
Train step=4900, hour=9, Loss = 2.785258948279079e-05
Train step=5000, hour=9, Loss = 3.989732067566365e-05
Train step=5100, hour=9, Loss = 1.8242044461658224e-05
Train step=5200, hour=10, Loss = 0.0002706689410842955
Train step=5300, hour=10, Loss = 1.182281175715616e-05
Train step=5400, hour=10, Loss = 1.0124524123966694e-05
