Train step=100, hour=0, Loss = 9.671430587768555
Train step=200, hour=0, Loss = 9.151422500610352
Train step=300, hour=0, Loss = 9.359418869018555
Train step=400, hour=0, Loss = 9.520694732666016
Train step=500, hour=0, Loss = 9.092939376831055
Train step=600, hour=0, Loss = 9.470857620239258
Train step=700, hour=0, Loss = 9.189796447753906
Train step=800, hour=0, Loss = 8.625995635986328
Train step=900, hour=0, Loss = 8.900337219238281
Train step=1000, hour=0, Loss = 8.790009498596191
Train step=1100, hour=0, Loss = 9.497272491455078
Train step=1200, hour=0, Loss = 9.050262451171875
Train step=1300, hour=0, Loss = 8.222843170166016
Train step=1400, hour=0, Loss = 7.714352130889893
Train step=1500, hour=1, Loss = 9.598846435546875
Train step=1600, hour=1, Loss = 9.380751609802246
Train step=1700, hour=1, Loss = 9.090757369995117
Train step=1800, hour=1, Loss = 8.326108932495117
Train step=1900, hour=1, Loss = 8.937483787536621
Train step=2000, hour=1, Loss = 9.021108627319336
Train step=2100, hour=1, Loss = 8.103375434875488
Train step=2200, hour=1, Loss = 6.619318962097168
Train step=2300, hour=1, Loss = 7.632491111755371
Train step=2400, hour=1, Loss = 7.918034076690674
Train step=2500, hour=1, Loss = 7.495206832885742
Train step=2600, hour=1, Loss = 7.693947792053223
Train step=2700, hour=1, Loss = 8.783553123474121
Train step=2800, hour=1, Loss = 8.420429229736328
Train step=2900, hour=2, Loss = 9.780386924743652
Train step=3000, hour=2, Loss = 9.91610336303711
Train step=3100, hour=2, Loss = 8.732179641723633
Train step=3200, hour=2, Loss = 9.019523620605469
Train step=3300, hour=2, Loss = 8.628586769104004
Train step=3400, hour=2, Loss = 9.632394790649414
Train step=3500, hour=2, Loss = 9.8681640625
Train step=3600, hour=2, Loss = 8.636878967285156
Train step=3700, hour=2, Loss = 8.103261947631836
Train step=3800, hour=2, Loss = 8.860130310058594
Train step=3900, hour=2, Loss = 8.849786758422852
Train step=4000, hour=2, Loss = 9.07443904876709
Train step=4100, hour=2, Loss = 8.366842269897461
Train step=4200, hour=2, Loss = 7.047540664672852
Train step=4300, hour=2, Loss = 9.590582847595215
Train step=4400, hour=3, Loss = 9.721213340759277
Train step=4500, hour=3, Loss = 9.085592269897461
Train step=4600, hour=3, Loss = 10.045159339904785
Train step=4700, hour=3, Loss = 9.520872116088867
Train step=4800, hour=3, Loss = 8.659269332885742
Train step=4900, hour=3, Loss = 9.144340515136719
Train step=5000, hour=3, Loss = 9.38089656829834
Train step=5100, hour=3, Loss = 9.704883575439453
Train step=5200, hour=3, Loss = 9.466813087463379
Train step=5300, hour=3, Loss = 9.02869701385498
Train step=5400, hour=3, Loss = 9.112909317016602
Train step=5500, hour=3, Loss = 9.017699241638184
Train step=5600, hour=3, Loss = 8.077363967895508
Train step=5700, hour=3, Loss = 8.599593162536621
Train step=5800, hour=4, Loss = 9.146080017089844
Train step=5900, hour=4, Loss = 8.572697639465332
Train step=6000, hour=4, Loss = 9.913222312927246
Train step=6100, hour=4, Loss = 9.801294326782227
Train step=6200, hour=4, Loss = 8.946014404296875
Train step=6300, hour=4, Loss = 9.310232162475586
Train step=6400, hour=4, Loss = 9.838235855102539
Train step=6500, hour=4, Loss = 10.871114730834961
Train step=6600, hour=4, Loss = 9.961567878723145
Train step=6700, hour=4, Loss = 8.225107192993164
Train step=6800, hour=4, Loss = 9.640193939208984
Train step=6900, hour=5, Loss = 9.858076095581055
Train step=7000, hour=5, Loss = 8.903360366821289
Train step=7100, hour=5, Loss = 8.486810684204102
Train step=7200, hour=5, Loss = 6.17596435546875
Train step=7300, hour=5, Loss = 9.131270408630371
Train step=7400, hour=5, Loss = 9.727092742919922
Train step=7500, hour=5, Loss = 5.948604583740234
Train step=7600, hour=5, Loss = 8.60945987701416
Train step=7700, hour=5, Loss = 8.868978500366211
Train step=7800, hour=5, Loss = 6.998657703399658
Train step=7900, hour=5, Loss = 7.369114875793457
Train step=8000, hour=5, Loss = 6.34864616394043
Train step=8100, hour=5, Loss = 7.664331912994385
Train step=8200, hour=5, Loss = 9.885116577148438
Train step=8300, hour=6, Loss = 9.615497589111328
Train step=8400, hour=6, Loss = 8.742880821228027
Train step=8500, hour=6, Loss = 8.025171279907227
Train step=8600, hour=6, Loss = 8.578144073486328
Train step=8700, hour=6, Loss = 2.9265480041503906
Train step=8800, hour=6, Loss = 9.10344123840332
Train step=8900, hour=6, Loss = 9.099483489990234
Train step=9000, hour=6, Loss = 8.323271751403809
