Train step=100, Max Q=4.1633076667785645, Max target Q=4.42534065246582, Loss = 0.8626282215118408
Train step=200, Max Q=3.2816145420074463, Max target Q=4.170161247253418, Loss = 0.7534945607185364
Train step=300, Max Q=2.9355063438415527, Max target Q=4.371540069580078, Loss = 0.7163335680961609
Train step=400, Max Q=2.9859681129455566, Max target Q=4.258976459503174, Loss = 0.7213157415390015
Train step=500, Max Q=3.0169332027435303, Max target Q=4.001502513885498, Loss = 0.7551981806755066
Train step=600, Max Q=3.0398244857788086, Max target Q=3.6481924057006836, Loss = 0.4200716018676758
Train step=700, Max Q=3.4474806785583496, Max target Q=4.1979899406433105, Loss = 0.4521571397781372
Train step=800, Max Q=2.924778938293457, Max target Q=3.821450710296631, Loss = 0.40468448400497437
Train step=900, Max Q=3.271096706390381, Max target Q=4.257821559906006, Loss = 0.4318693280220032
Train step=1000, Max Q=3.395613670349121, Max target Q=3.643319845199585, Loss = 0.41606491804122925
Train step=1100, Max Q=2.7635018825531006, Max target Q=4.268416881561279, Loss = 0.24446167051792145
Train step=1200, Max Q=2.384131908416748, Max target Q=3.343461513519287, Loss = 0.22425337135791779
Train step=1300, Max Q=3.8647241592407227, Max target Q=4.295469284057617, Loss = 0.25195568799972534
Train step=1400, Max Q=3.1173760890960693, Max target Q=3.4940671920776367, Loss = 0.2513127326965332
Train step=1500, Max Q=2.716676950454712, Max target Q=3.567286968231201, Loss = 0.21134686470031738
Train step=1600, Max Q=2.562025785446167, Max target Q=3.742135763168335, Loss = 0.1335793435573578
Train step=1700, Max Q=2.847905397415161, Max target Q=3.793137311935425, Loss = 0.14098331332206726
Train step=1800, Max Q=2.9688544273376465, Max target Q=3.14491868019104, Loss = 0.13575035333633423
Train step=1900, Max Q=3.325115203857422, Max target Q=4.343105792999268, Loss = 0.1605733036994934
Train step=2000, Max Q=3.2771666049957275, Max target Q=4.049279689788818, Loss = 0.16897377371788025
Train step=2100, Max Q=2.33213472366333, Max target Q=3.132272481918335, Loss = 0.09679453819990158
Train step=2200, Max Q=2.7705328464508057, Max target Q=3.139394521713257, Loss = 0.09697911143302917
Train step=2300, Max Q=2.393038511276245, Max target Q=3.098134756088257, Loss = 0.09152598679065704
Train step=2400, Max Q=1.703758955001831, Max target Q=2.530588388442993, Loss = 0.09002959728240967
Train step=2500, Max Q=2.202396869659424, Max target Q=2.45354962348938, Loss = 0.07345427572727203
Train step=2600, Max Q=2.1307106018066406, Max target Q=2.6184468269348145, Loss = 0.04706384986639023
Train step=2700, Max Q=2.0890724658966064, Max target Q=2.1434147357940674, Loss = 0.05243999511003494
Train step=2800, Max Q=2.358099937438965, Max target Q=3.1167309284210205, Loss = 0.051480017602443695
Train step=2900, Max Q=2.1453230381011963, Max target Q=2.6822509765625, Loss = 0.05916387587785721
Train step=3000, Max Q=2.713894844055176, Max target Q=3.727938652038574, Loss = 0.06012975051999092
Train step=3100, Max Q=1.5353546142578125, Max target Q=1.7180331945419312, Loss = 0.024646569043397903
Train step=3200, Max Q=1.8809254169464111, Max target Q=2.1370341777801514, Loss = 0.03310142457485199
Train step=3300, Max Q=2.182386636734009, Max target Q=2.680695056915283, Loss = 0.038007982075214386
Train step=3400, Max Q=1.788065791130066, Max target Q=2.5427026748657227, Loss = 0.03175453096628189
Train step=3500, Max Q=1.6532847881317139, Max target Q=2.112558603286743, Loss = 0.034651778638362885
Train step=3600, Max Q=2.566654920578003, Max target Q=2.2855639457702637, Loss = 0.01394825242459774
Train step=3700, Max Q=1.3131842613220215, Max target Q=2.4333906173706055, Loss = 0.020690152421593666
Train step=3800, Max Q=1.4321513175964355, Max target Q=1.8788723945617676, Loss = 0.013961714692413807
Train step=3900, Max Q=1.3886901140213013, Max target Q=1.8118054866790771, Loss = 0.014497035183012486
Train step=4000, Max Q=1.680708408355713, Max target Q=2.2378149032592773, Loss = 0.020283982157707214
Train step=4100, Max Q=1.459119439125061, Max target Q=1.4083316326141357, Loss = 0.012990755960345268
Train step=4200, Max Q=2.3997156620025635, Max target Q=2.681231737136841, Loss = 0.013569297268986702
Train step=4300, Max Q=4.121688365936279, Max target Q=4.162307262420654, Loss = 0.0091264508664608
Train step=4400, Max Q=1.4447591304779053, Max target Q=1.5269969701766968, Loss = 0.007256575860083103
Train step=4500, Max Q=1.7968249320983887, Max target Q=1.9843699932098389, Loss = 0.007064601872116327
Train step=4600, Max Q=1.7169567346572876, Max target Q=2.1222639083862305, Loss = 0.006330543197691441
Train step=4700, Max Q=1.3661043643951416, Max target Q=1.5173956155776978, Loss = 0.005576178431510925
Train step=4800, Max Q=1.292130708694458, Max target Q=1.7435686588287354, Loss = 0.007356451358646154
Train step=4900, Max Q=1.199326515197754, Max target Q=1.2337102890014648, Loss = 0.010040361434221268
Train step=5000, Max Q=1.4276707172393799, Max target Q=1.4943526983261108, Loss = 0.006838617380708456
Train step=5100, Max Q=1.206333041191101, Max target Q=1.2444322109222412, Loss = 0.004643150605261326
Train step=5200, Max Q=1.3414028882980347, Max target Q=1.359938383102417, Loss = 0.00411992846056819
Train step=5300, Max Q=1.1439818143844604, Max target Q=1.312187671661377, Loss = 0.003203366184607148
Train step=5400, Max Q=1.186051607131958, Max target Q=1.1145765781402588, Loss = 0.0039129117503762245
Train step=5500, Max Q=3.1315996646881104, Max target Q=3.2441139221191406, Loss = 0.018522299826145172
Train step=5600, Max Q=1.1224273443222046, Max target Q=1.629645586013794, Loss = 0.00343860755674541
Train step=5700, Max Q=1.1314750909805298, Max target Q=1.13470458984375, Loss = 0.004784350749105215
Train step=5800, Max Q=1.200016736984253, Max target Q=1.3018943071365356, Loss = 0.004923233296722174
Train step=5900, Max Q=1.4229267835617065, Max target Q=1.3740078210830688, Loss = 0.002344915410503745
Train step=6000, Max Q=1.062869668006897, Max target Q=1.4278879165649414, Loss = 0.0036353119648993015
Train step=6100, Max Q=3.8357906341552734, Max target Q=3.665395498275757, Loss = 0.015179591253399849
Train step=6200, Max Q=1.5567255020141602, Max target Q=2.1466586589813232, Loss = 0.005615896079689264
Train step=6300, Max Q=1.0727286338806152, Max target Q=1.2575515508651733, Loss = 0.0021706735715270042
Train step=6400, Max Q=2.166647434234619, Max target Q=2.330554962158203, Loss = 0.004706903360784054
Train step=6500, Max Q=2.399174451828003, Max target Q=2.421431541442871, Loss = 0.0012388851027935743
Train step=6600, Max Q=1.2423946857452393, Max target Q=1.9384684562683105, Loss = 0.0018509874353185296
Train step=6700, Max Q=0.9256821274757385, Max target Q=1.038827657699585, Loss = 0.0015524581540375948
Train step=6800, Max Q=1.7087167501449585, Max target Q=1.9380865097045898, Loss = 0.0013013917487114668
Train step=6900, Max Q=2.794365406036377, Max target Q=4.075351715087891, Loss = 0.009675898589193821
Train step=7000, Max Q=0.9293763041496277, Max target Q=0.8690149784088135, Loss = 0.0009729259181767702
Train step=7100, Max Q=1.236770749092102, Max target Q=1.5420267581939697, Loss = 0.004286057315766811
Train step=7200, Max Q=1.4000061750411987, Max target Q=1.3531790971755981, Loss = 0.001144606270827353
Train step=7300, Max Q=1.0412013530731201, Max target Q=1.359827995300293, Loss = 0.004172787070274353
Train step=7400, Max Q=1.2252066135406494, Max target Q=1.281375527381897, Loss = 0.0024254058953374624
Train step=7500, Max Q=1.1322977542877197, Max target Q=1.183914303779602, Loss = 0.0009259734652005136
Train step=7600, Max Q=0.9569304585456848, Max target Q=1.082705020904541, Loss = 0.0017004625406116247
Train step=7700, Max Q=0.8880928754806519, Max target Q=0.991611897945404, Loss = 0.0008521359413862228
Train step=7800, Max Q=2.9874513149261475, Max target Q=3.7200353145599365, Loss = 0.001640733447857201
Train step=7900, Max Q=1.1283273696899414, Max target Q=1.060276985168457, Loss = 0.0014222534373402596
Train step=8000, Max Q=1.109032154083252, Max target Q=1.260191798210144, Loss = 0.0014096333179622889
Train step=8100, Max Q=1.122693657875061, Max target Q=1.2708882093429565, Loss = 0.0009072255343198776
Train step=8200, Max Q=0.5952908992767334, Max target Q=0.9981306195259094, Loss = 0.0014599637361243367
Train step=8300, Max Q=0.9618087410926819, Max target Q=1.4714739322662354, Loss = 0.0009517071885056794
Train step=8400, Max Q=0.788684070110321, Max target Q=0.8458512425422668, Loss = 0.0006491789827123284
Train step=8500, Max Q=1.151826024055481, Max target Q=1.2370541095733643, Loss = 0.0006378402467817068
Train step=8600, Max Q=1.2445135116577148, Max target Q=1.2644851207733154, Loss = 0.0006898492574691772
Train step=8700, Max Q=1.2029826641082764, Max target Q=1.1098328828811646, Loss = 0.0014300503535196185
Train step=8800, Max Q=0.8844422101974487, Max target Q=0.8911097049713135, Loss = 0.000510192709043622
Train step=8900, Max Q=1.6101988554000854, Max target Q=1.5610802173614502, Loss = 0.000748506688978523
Train step=9000, Max Q=0.9442638158798218, Max target Q=0.9838692545890808, Loss = 0.0005031496402807534
Train step=9100, Max Q=0.9654961824417114, Max target Q=1.121228575706482, Loss = 0.0005241477047093213
Train step=9200, Max Q=1.0987911224365234, Max target Q=1.0737724304199219, Loss = 0.00047206043382175267
Train step=9300, Max Q=0.717229425907135, Max target Q=0.7632981538772583, Loss = 0.00033946114126592875
Train step=9400, Max Q=0.9776286482810974, Max target Q=1.0011934041976929, Loss = 0.0006608448456972837
Train step=9500, Max Q=2.8927361965179443, Max target Q=3.122729778289795, Loss = 0.009732802398502827
Train step=9600, Max Q=0.671699047088623, Max target Q=0.7016168832778931, Loss = 0.00023650228104088455
Train step=9700, Max Q=0.8299732208251953, Max target Q=1.0027493238449097, Loss = 0.0006421657162718475
Train step=9800, Max Q=0.9646622538566589, Max target Q=0.9828195571899414, Loss = 0.0004084925458300859
Train step=9900, Max Q=0.37662020325660706, Max target Q=0.32536301016807556, Loss = 0.00021079889847896993
Train step=10000, Max Q=0.9076425433158875, Max target Q=1.0095322132110596, Loss = 0.0004198479000478983
