Train step=100, Max Q=4.275545120239258, Max target Q=5.47890567779541, Loss = 0.7967150211334229
Train step=200, Max Q=4.331600666046143, Max target Q=5.053893566131592, Loss = 0.728283166885376
Train step=300, Max Q=4.427316188812256, Max target Q=5.785400390625, Loss = 0.7110740542411804
Train step=400, Max Q=4.513217926025391, Max target Q=5.332521915435791, Loss = 0.6539127826690674
Train step=500, Max Q=4.076157093048096, Max target Q=5.4640631675720215, Loss = 0.8267090320587158
Train step=600, Max Q=3.990243673324585, Max target Q=4.410772800445557, Loss = 0.28598684072494507
Train step=700, Max Q=4.542356014251709, Max target Q=4.642949104309082, Loss = 0.272213339805603
Train step=800, Max Q=5.082443714141846, Max target Q=4.727578639984131, Loss = 0.2770664393901825
Train step=900, Max Q=4.140835285186768, Max target Q=4.09630823135376, Loss = 0.27150028944015503
Train step=1000, Max Q=4.310556888580322, Max target Q=4.564993858337402, Loss = 0.2323845475912094
Train step=1100, Max Q=4.578320026397705, Max target Q=4.4424614906311035, Loss = 0.18257980048656464
Train step=1200, Max Q=4.973244667053223, Max target Q=4.861783027648926, Loss = 0.1702420711517334
Train step=1300, Max Q=5.156711578369141, Max target Q=5.143409252166748, Loss = 0.13759732246398926
Train step=1400, Max Q=3.5942227840423584, Max target Q=4.081934452056885, Loss = 0.1601158231496811
Train step=1500, Max Q=4.321932792663574, Max target Q=4.564558029174805, Loss = 0.1489546149969101
Train step=1600, Max Q=4.132143974304199, Max target Q=3.937910556793213, Loss = 0.09896697849035263
Train step=1700, Max Q=4.322192668914795, Max target Q=4.585328578948975, Loss = 0.09047628194093704
Train step=1800, Max Q=4.095518112182617, Max target Q=4.354512691497803, Loss = 0.0709351897239685
Train step=1900, Max Q=4.814253807067871, Max target Q=4.8998188972473145, Loss = 0.09120911359786987
Train step=2000, Max Q=4.36944580078125, Max target Q=4.2606329917907715, Loss = 0.10097215324640274
Train step=2100, Max Q=4.261547088623047, Max target Q=3.811882495880127, Loss = 0.041683293879032135
Train step=2200, Max Q=4.628289222717285, Max target Q=4.886518478393555, Loss = 0.06303410232067108
Train step=2300, Max Q=4.4758381843566895, Max target Q=4.371347904205322, Loss = 0.11012325435876846
Train step=2400, Max Q=3.8526642322540283, Max target Q=3.826831102371216, Loss = 0.0779728814959526
Train step=2500, Max Q=3.4196016788482666, Max target Q=3.420835494995117, Loss = 0.09015054255723953
Train step=2600, Max Q=3.822169303894043, Max target Q=3.7975518703460693, Loss = 0.021704092621803284
Train step=2700, Max Q=3.8690335750579834, Max target Q=4.071646213531494, Loss = 0.033647578209638596
Train step=2800, Max Q=3.725930690765381, Max target Q=3.8250370025634766, Loss = 0.028399396687746048
Train step=2900, Max Q=3.5155975818634033, Max target Q=3.9721567630767822, Loss = 0.06103880703449249
Train step=3000, Max Q=3.381042003631592, Max target Q=3.487010955810547, Loss = 0.04935450106859207
Train step=3100, Max Q=3.5801384449005127, Max target Q=3.5676846504211426, Loss = 0.03469990938901901
Train step=3200, Max Q=4.388029098510742, Max target Q=4.421324729919434, Loss = 0.03503764048218727
Train step=3300, Max Q=4.192165374755859, Max target Q=4.425012588500977, Loss = 0.015053711831569672
Train step=3400, Max Q=3.8664722442626953, Max target Q=3.9960007667541504, Loss = 0.03581658750772476
Train step=3500, Max Q=3.7283527851104736, Max target Q=3.6543641090393066, Loss = 0.015889396890997887
Train step=3600, Max Q=3.440845489501953, Max target Q=3.5932869911193848, Loss = 0.026427660137414932
Train step=3700, Max Q=3.9614968299865723, Max target Q=4.125365257263184, Loss = 0.020602550357580185
Train step=3800, Max Q=3.9057371616363525, Max target Q=4.103326320648193, Loss = 0.010024442337453365
Train step=3900, Max Q=3.8326635360717773, Max target Q=3.927316665649414, Loss = 0.03474380075931549
Train step=4000, Max Q=3.2987918853759766, Max target Q=3.240591049194336, Loss = 0.025387220084667206
Train step=4100, Max Q=3.9974026679992676, Max target Q=3.7565248012542725, Loss = 0.017427809536457062
Train step=4200, Max Q=3.493598699569702, Max target Q=3.544761896133423, Loss = 0.00969911739230156
Train step=4300, Max Q=3.975482702255249, Max target Q=3.9793379306793213, Loss = 0.013967914506793022
Train step=4400, Max Q=3.4420382976531982, Max target Q=3.949235200881958, Loss = 0.010840661823749542
Train step=4500, Max Q=3.588014841079712, Max target Q=3.7786638736724854, Loss = 0.024749867618083954
Train step=4600, Max Q=2.9728844165802, Max target Q=3.0736632347106934, Loss = 0.011183730326592922
Train step=4700, Max Q=3.787996530532837, Max target Q=3.5999433994293213, Loss = 0.01518286019563675
Train step=4800, Max Q=3.9900124073028564, Max target Q=4.028066635131836, Loss = 0.020262785255908966
Train step=4900, Max Q=3.211919069290161, Max target Q=2.9655675888061523, Loss = 0.012135831639170647
Train step=5000, Max Q=3.421516180038452, Max target Q=3.509384870529175, Loss = 0.01216274593025446
Train step=5100, Max Q=4.0214948654174805, Max target Q=4.007993221282959, Loss = 0.010927954688668251
Train step=5200, Max Q=3.1035962104797363, Max target Q=3.334021806716919, Loss = 0.010267000645399094
Train step=5300, Max Q=3.7991931438446045, Max target Q=3.8233344554901123, Loss = 0.0231914184987545
Train step=5400, Max Q=3.436082363128662, Max target Q=3.2363228797912598, Loss = 0.01578291691839695
Train step=5500, Max Q=3.7654027938842773, Max target Q=3.863118886947632, Loss = 0.009601172991096973
Train step=5600, Max Q=3.8307411670684814, Max target Q=3.615300416946411, Loss = 0.019337259232997894
Train step=5700, Max Q=3.597637176513672, Max target Q=3.6653945446014404, Loss = 0.011295068077743053
Train step=5800, Max Q=3.360534906387329, Max target Q=3.3692591190338135, Loss = 0.004536232445389032
Train step=5900, Max Q=3.2478413581848145, Max target Q=3.2896833419799805, Loss = 0.014402502216398716
Train step=6000, Max Q=3.261984348297119, Max target Q=3.5352537631988525, Loss = 0.02472703717648983
Train step=6100, Max Q=4.113719940185547, Max target Q=3.9764750003814697, Loss = 0.012885761447250843
Train step=6200, Max Q=3.2371127605438232, Max target Q=3.1562578678131104, Loss = 0.014922268688678741
Train step=6300, Max Q=3.719709873199463, Max target Q=3.966435670852661, Loss = 0.015819132328033447
Train step=6400, Max Q=3.382702112197876, Max target Q=3.087130069732666, Loss = 0.030254073441028595
Train step=6500, Max Q=2.796754837036133, Max target Q=3.079352855682373, Loss = 0.01336698979139328
Train step=6600, Max Q=3.533398389816284, Max target Q=3.727083206176758, Loss = 0.0073951780796051025
Train step=6700, Max Q=3.2191452980041504, Max target Q=3.160576820373535, Loss = 0.008680358529090881
Train step=6800, Max Q=3.044804811477661, Max target Q=3.2479875087738037, Loss = 0.019601786509156227
Train step=6900, Max Q=2.9057679176330566, Max target Q=3.1377639770507812, Loss = 0.02118876948952675
Train step=7000, Max Q=2.958031415939331, Max target Q=3.1623876094818115, Loss = 0.012953673489391804
Train step=7100, Max Q=2.669466018676758, Max target Q=3.396544933319092, Loss = 0.01699734292924404
Train step=7200, Max Q=3.626807689666748, Max target Q=3.6616549491882324, Loss = 0.013608409091830254
Train step=7300, Max Q=3.3911099433898926, Max target Q=3.219637632369995, Loss = 0.017688825726509094
Train step=7400, Max Q=3.4869422912597656, Max target Q=3.5152134895324707, Loss = 0.009662654250860214
Train step=7500, Max Q=2.861975908279419, Max target Q=3.1061339378356934, Loss = 0.016477465629577637
Train step=7600, Max Q=3.392568349838257, Max target Q=3.7209320068359375, Loss = 0.01789889857172966
Train step=7700, Max Q=3.8298842906951904, Max target Q=3.66494083404541, Loss = 0.004481804091483355
Train step=7800, Max Q=3.4283294677734375, Max target Q=3.5571365356445312, Loss = 0.007258414290845394
Train step=7900, Max Q=3.2557973861694336, Max target Q=3.230621814727783, Loss = 0.01245424896478653
Train step=8000, Max Q=3.8215677738189697, Max target Q=3.71089768409729, Loss = 0.007298154756426811
Train step=8100, Max Q=3.088123321533203, Max target Q=2.961899757385254, Loss = 0.017351588234305382
Train step=8200, Max Q=4.136765956878662, Max target Q=4.019913196563721, Loss = 0.005961914546787739
Train step=8300, Max Q=3.926610231399536, Max target Q=3.9310319423675537, Loss = 0.010524412617087364
Train step=8400, Max Q=3.7417144775390625, Max target Q=3.5434999465942383, Loss = 0.010635854676365852
Train step=8500, Max Q=3.1904711723327637, Max target Q=3.3607959747314453, Loss = 0.011040396988391876
Train step=8600, Max Q=2.8577277660369873, Max target Q=3.6641833782196045, Loss = 0.006491735577583313
Train step=8700, Max Q=3.7539405822753906, Max target Q=3.9841525554656982, Loss = 0.009686406701803207
Train step=8800, Max Q=3.898484945297241, Max target Q=3.782315492630005, Loss = 0.009988410398364067
Train step=8900, Max Q=3.5216944217681885, Max target Q=3.6901464462280273, Loss = 0.00492247985675931
Train step=9000, Max Q=2.4614217281341553, Max target Q=2.848698616027832, Loss = 0.013740208931267262
Train step=9100, Max Q=4.062806606292725, Max target Q=4.311141490936279, Loss = 0.010249966755509377
Train step=9200, Max Q=3.8820667266845703, Max target Q=3.8511815071105957, Loss = 0.0055544436909258366
Train step=9300, Max Q=3.4885520935058594, Max target Q=3.70023512840271, Loss = 0.012196307070553303
Train step=9400, Max Q=4.023562431335449, Max target Q=4.038104057312012, Loss = 0.017566842958331108
Train step=9500, Max Q=3.9607155323028564, Max target Q=3.9402015209198, Loss = 0.020380208268761635
Train step=9600, Max Q=3.0320534706115723, Max target Q=3.1733005046844482, Loss = 0.006834362633526325
Train step=9700, Max Q=3.5404210090637207, Max target Q=3.6434085369110107, Loss = 0.004428250715136528
Train step=9800, Max Q=3.56553053855896, Max target Q=3.5185465812683105, Loss = 0.014192741364240646
Train step=9900, Max Q=3.3113856315612793, Max target Q=3.5329396724700928, Loss = 0.009083906188607216
Train step=10000, Max Q=3.058300733566284, Max target Q=3.0335092544555664, Loss = 0.005579715128988028
Train step=10100, Max Q=3.271555185317993, Max target Q=3.3375325202941895, Loss = 0.009890424087643623
Train step=10200, Max Q=3.5039901733398438, Max target Q=3.6175928115844727, Loss = 0.003060463350266218
Train step=10300, Max Q=3.196868419647217, Max target Q=3.0456671714782715, Loss = 0.011314960196614265
Train step=10400, Max Q=3.3396944999694824, Max target Q=3.427414655685425, Loss = 0.008821673691272736
Train step=10500, Max Q=2.8381919860839844, Max target Q=3.012892484664917, Loss = 0.01201041229069233
Train step=10600, Max Q=3.3060765266418457, Max target Q=3.436005115509033, Loss = 0.008668329566717148
Train step=10700, Max Q=3.7583470344543457, Max target Q=3.775965452194214, Loss = 0.009563766419887543
Train step=10800, Max Q=3.1969738006591797, Max target Q=3.1866862773895264, Loss = 0.007443052250891924
Train step=10900, Max Q=2.6149778366088867, Max target Q=2.8770313262939453, Loss = 0.025112509727478027
Train step=11000, Max Q=3.8537065982818604, Max target Q=3.871959924697876, Loss = 0.005660696886479855
Train step=11100, Max Q=3.3744359016418457, Max target Q=3.563612699508667, Loss = 0.008220511488616467
Train step=11200, Max Q=3.9815573692321777, Max target Q=3.9083735942840576, Loss = 0.004151349887251854
Train step=11300, Max Q=3.5655899047851562, Max target Q=3.729902744293213, Loss = 0.016293691471219063
Train step=11400, Max Q=3.0181937217712402, Max target Q=3.3917629718780518, Loss = 0.011696391738951206
Train step=11500, Max Q=3.0260403156280518, Max target Q=2.8622429370880127, Loss = 0.012558157555758953
Train step=11600, Max Q=3.707833766937256, Max target Q=3.747577428817749, Loss = 0.005492689553648233
Train step=11700, Max Q=3.1369199752807617, Max target Q=3.3552112579345703, Loss = 0.005020298529416323
Train step=11800, Max Q=2.5740127563476562, Max target Q=2.936004161834717, Loss = 0.01017673872411251
Train step=11900, Max Q=3.7217230796813965, Max target Q=3.77095890045166, Loss = 0.00987450871616602
Train step=12000, Max Q=3.575087308883667, Max target Q=3.3403592109680176, Loss = 0.012215467169880867
Train step=12100, Max Q=3.767174243927002, Max target Q=3.7390589714050293, Loss = 0.003481101244688034
Train step=12200, Max Q=3.276577949523926, Max target Q=3.479872465133667, Loss = 0.0174136683344841
Train step=12300, Max Q=3.419732093811035, Max target Q=3.6336357593536377, Loss = 0.02146073430776596
Train step=12400, Max Q=3.3283133506774902, Max target Q=3.2835171222686768, Loss = 0.010149047710001469
Train step=12500, Max Q=3.439453363418579, Max target Q=3.443589925765991, Loss = 0.01041220873594284
Train step=12600, Max Q=3.5426900386810303, Max target Q=3.5202245712280273, Loss = 0.0049894885160028934
Train step=12700, Max Q=3.3961894512176514, Max target Q=3.5927274227142334, Loss = 0.008196169510483742
Train step=12800, Max Q=3.1900269985198975, Max target Q=3.020792007446289, Loss = 0.006967722438275814
Train step=12900, Max Q=3.5737977027893066, Max target Q=3.545438528060913, Loss = 0.006454555317759514
Train step=13000, Max Q=3.466902494430542, Max target Q=3.641486644744873, Loss = 0.00813356228172779
