Train step=100, Max Q=3.0967721939086914, Max target Q=4.839496612548828, Loss = 0.7802329063415527
Train step=200, Max Q=3.9290847778320312, Max target Q=4.658071041107178, Loss = 0.7708334922790527
Train step=300, Max Q=3.6694743633270264, Max target Q=4.4144439697265625, Loss = 0.7458351850509644
Train step=400, Max Q=3.88283109664917, Max target Q=4.44865608215332, Loss = 0.7205843925476074
Train step=100, Max Q=2.841312885284424, Max target Q=2.9307308197021484, Loss = 0.5709495544433594, Mean f_diff=0.2314390242099762, Mean pseudo-reward=0.28638070821762085
Train step=200, Max Q=2.762014865875244, Max target Q=2.9998323917388916, Loss = 0.489952027797699, Mean f_diff=0.341592937707901, Mean pseudo-reward=0.382026731967926
Train step=300, Max Q=2.548341989517212, Max target Q=2.9690802097320557, Loss = 0.3435105085372925, Mean f_diff=0.27161917090415955, Mean pseudo-reward=0.3099784851074219
Train step=400, Max Q=2.7369699478149414, Max target Q=3.078403949737549, Loss = 0.36412835121154785, Mean f_diff=0.32797831296920776, Mean pseudo-reward=0.3602916896343231
Train step=500, Max Q=2.610529661178589, Max target Q=3.102055549621582, Loss = 0.3691098093986511, Mean f_diff=0.2607917785644531, Mean pseudo-reward=0.29248255491256714
Train step=600, Max Q=2.336290121078491, Max target Q=2.9976541996002197, Loss = 0.3490698039531708, Mean f_diff=0.22011452913284302, Mean pseudo-reward=0.2794570326805115
Train step=700, Max Q=2.393571615219116, Max target Q=2.7938332557678223, Loss = 0.28946590423583984, Mean f_diff=0.2524104118347168, Mean pseudo-reward=0.3047483563423157
Train step=800, Max Q=2.3245556354522705, Max target Q=2.9378130435943604, Loss = 0.3314608931541443, Mean f_diff=0.26669368147850037, Mean pseudo-reward=0.32539883255958557
Train step=900, Max Q=2.4049527645111084, Max target Q=2.661278009414673, Loss = 0.340914249420166, Mean f_diff=0.25847089290618896, Mean pseudo-reward=0.3077206313610077
Train step=1000, Max Q=2.305067539215088, Max target Q=2.872609853744507, Loss = 0.3266117572784424, Mean f_diff=0.19360516965389252, Mean pseudo-reward=0.2404366135597229
Train step=1100, Max Q=2.0664844512939453, Max target Q=2.8334665298461914, Loss = 0.2942611575126648, Mean f_diff=0.22140245139598846, Mean pseudo-reward=0.2789577841758728
Train step=1200, Max Q=2.116931200027466, Max target Q=2.6837382316589355, Loss = 0.37740230560302734, Mean f_diff=0.25206390023231506, Mean pseudo-reward=0.3504483103752136
Train step=1300, Max Q=2.4677276611328125, Max target Q=2.590895414352417, Loss = 0.3302948474884033, Mean f_diff=0.37050145864486694, Mean pseudo-reward=0.46664226055145264
Train step=1400, Max Q=2.7686002254486084, Max target Q=2.927462577819824, Loss = 0.3457801938056946, Mean f_diff=0.26832810044288635, Mean pseudo-reward=0.34639203548431396
Train step=1500, Max Q=2.435943841934204, Max target Q=2.9319188594818115, Loss = 0.3337785601615906, Mean f_diff=0.22781065106391907, Mean pseudo-reward=0.3049154281616211
Train step=1600, Max Q=2.8397135734558105, Max target Q=2.871446132659912, Loss = 0.2983132004737854, Mean f_diff=0.29557085037231445, Mean pseudo-reward=0.37222886085510254
Train step=1700, Max Q=2.7153635025024414, Max target Q=2.9796369075775146, Loss = 0.3194989562034607, Mean f_diff=0.30963581800460815, Mean pseudo-reward=0.37441039085388184
Train step=1800, Max Q=2.4934539794921875, Max target Q=2.9011154174804688, Loss = 0.3174481987953186, Mean f_diff=0.3429589569568634, Mean pseudo-reward=0.40682780742645264
Train step=1900, Max Q=2.605161666870117, Max target Q=2.940573215484619, Loss = 0.37061959505081177, Mean f_diff=0.34271904826164246, Mean pseudo-reward=0.4358031451702118
Train step=2000, Max Q=2.8738396167755127, Max target Q=2.782522678375244, Loss = 0.31250110268592834, Mean f_diff=0.3359520137310028, Mean pseudo-reward=0.4092124104499817
Train step=2100, Max Q=2.9913694858551025, Max target Q=2.8613977432250977, Loss = 0.26461952924728394, Mean f_diff=0.2652643918991089, Mean pseudo-reward=0.32896384596824646
Train step=2200, Max Q=2.794713258743286, Max target Q=3.1090521812438965, Loss = 0.3682728409767151, Mean f_diff=0.27946919202804565, Mean pseudo-reward=0.3597702980041504
Train step=2300, Max Q=2.9735424518585205, Max target Q=3.1231911182403564, Loss = 0.2946162819862366, Mean f_diff=0.2993238568305969, Mean pseudo-reward=0.3809073865413666
Train step=2400, Max Q=2.745638370513916, Max target Q=2.9692583084106445, Loss = 0.2974730134010315, Mean f_diff=0.2667224109172821, Mean pseudo-reward=0.3397272229194641
Train step=2500, Max Q=2.8654110431671143, Max target Q=2.9982426166534424, Loss = 0.2995564937591553, Mean f_diff=0.3025971055030823, Mean pseudo-reward=0.3777419924736023
