Train step=100, Max Q=3.976348876953125, Max target Q=4.310729503631592, Loss = 0.8798598647117615, Mean f_diff=0.3307298421859741, Mean pseudo-reward=0.3870353102684021
Train step=200, Max Q=3.0202720165252686, Max target Q=4.377684116363525, Loss = 0.9425152540206909, Mean f_diff=0.3554118871688843, Mean pseudo-reward=0.41542044281959534
Train step=300, Max Q=4.080569267272949, Max target Q=4.240996837615967, Loss = 0.898317277431488, Mean f_diff=0.31256455183029175, Mean pseudo-reward=0.34480756521224976
Train step=400, Max Q=3.6019372940063477, Max target Q=4.122086524963379, Loss = 0.7642408013343811, Mean f_diff=0.26025164127349854, Mean pseudo-reward=0.2915966510772705
Train step=500, Max Q=3.359346389770508, Max target Q=5.205389976501465, Loss = 0.7834289073944092, Mean f_diff=0.23122890293598175, Mean pseudo-reward=0.25416749715805054
Train step=600, Max Q=2.5048577785491943, Max target Q=3.555807113647461, Loss = 0.4742610454559326, Mean f_diff=0.27500230073928833, Mean pseudo-reward=0.32472217082977295
Train step=700, Max Q=2.814136266708374, Max target Q=3.190707206726074, Loss = 0.4748539328575134, Mean f_diff=0.249110147356987, Mean pseudo-reward=0.2799362540245056
Train step=800, Max Q=2.7932510375976562, Max target Q=3.407625675201416, Loss = 0.4790251553058624, Mean f_diff=0.20863206684589386, Mean pseudo-reward=0.27716198563575745
Train step=900, Max Q=2.650840997695923, Max target Q=3.2847580909729004, Loss = 0.42446860671043396, Mean f_diff=0.30161869525909424, Mean pseudo-reward=0.3627271056175232
Train step=1000, Max Q=2.8570547103881836, Max target Q=3.567545175552368, Loss = 0.45066195726394653, Mean f_diff=0.22171059250831604, Mean pseudo-reward=0.2593507766723633
Train step=1100, Max Q=2.545708417892456, Max target Q=2.8217954635620117, Loss = 0.3674922585487366, Mean f_diff=0.29904547333717346, Mean pseudo-reward=0.3745843768119812
Train step=1200, Max Q=2.844554901123047, Max target Q=3.0271997451782227, Loss = 0.32748594880104065, Mean f_diff=0.3372343182563782, Mean pseudo-reward=0.4281581938266754
Train step=1300, Max Q=2.5927844047546387, Max target Q=3.2222962379455566, Loss = 0.3384660482406616, Mean f_diff=0.25823652744293213, Mean pseudo-reward=0.3178936839103699
Train step=1400, Max Q=2.7456557750701904, Max target Q=2.8524460792541504, Loss = 0.36417946219444275, Mean f_diff=0.26449257135391235, Mean pseudo-reward=0.3520241379737854
Train step=1500, Max Q=2.8124468326568604, Max target Q=2.9078991413116455, Loss = 0.32088103890419006, Mean f_diff=0.2562122344970703, Mean pseudo-reward=0.3237582743167877
Train step=1600, Max Q=2.9203073978424072, Max target Q=3.2391715049743652, Loss = 0.34981831908226013, Mean f_diff=0.24631401896476746, Mean pseudo-reward=0.3270801901817322
Train step=1700, Max Q=3.1518077850341797, Max target Q=3.156161069869995, Loss = 0.31094834208488464, Mean f_diff=0.21345111727714539, Mean pseudo-reward=0.261605441570282
Train step=1800, Max Q=3.0350186824798584, Max target Q=3.1712164878845215, Loss = 0.27628618478775024, Mean f_diff=0.18518465757369995, Mean pseudo-reward=0.2337910234928131
Train step=1900, Max Q=3.0145366191864014, Max target Q=3.3020541667938232, Loss = 0.38183367252349854, Mean f_diff=0.32295286655426025, Mean pseudo-reward=0.4115128517150879
Train step=2000, Max Q=2.9747371673583984, Max target Q=3.2498819828033447, Loss = 0.26939594745635986, Mean f_diff=0.24510474503040314, Mean pseudo-reward=0.3037654757499695
Train step=2100, Max Q=3.2210872173309326, Max target Q=2.983727216720581, Loss = 0.25682172179222107, Mean f_diff=0.1786542534828186, Mean pseudo-reward=0.22877833247184753
Train step=2200, Max Q=2.846198797225952, Max target Q=3.097341775894165, Loss = 0.3135959208011627, Mean f_diff=0.2807061970233917, Mean pseudo-reward=0.336301326751709
Train step=2300, Max Q=3.3816304206848145, Max target Q=3.102342367172241, Loss = 0.2999500632286072, Mean f_diff=0.2344282567501068, Mean pseudo-reward=0.3005272150039673
Train step=2400, Max Q=3.4866998195648193, Max target Q=2.993267774581909, Loss = 0.2788168787956238, Mean f_diff=0.24416886270046234, Mean pseudo-reward=0.31476444005966187
Train step=2500, Max Q=3.158149480819702, Max target Q=3.043240547180176, Loss = 0.29356062412261963, Mean f_diff=0.2305782437324524, Mean pseudo-reward=0.2974246144294739
Train step=2600, Max Q=3.2025723457336426, Max target Q=3.323193073272705, Loss = 0.31964612007141113, Mean f_diff=0.3181304931640625, Mean pseudo-reward=0.3988838195800781
Train step=2700, Max Q=3.5735526084899902, Max target Q=3.450239419937134, Loss = 0.37585747241973877, Mean f_diff=0.3806569576263428, Mean pseudo-reward=0.4786416292190552
